announce_ts,delist_ts,symbol,gap_days,source_title
2025-09-22T07:30:02.610000+00:00,2025-09-26T00:00:00+00:00,NEIROETHUSDT,3.687,Binance Futures Will Delist USDⓈ-M NEIROETHUSDT Perpetual Contract (2025-09-26)
2025-09-17T08:45:27.976000+00:00,2025-09-23T00:00:00+00:00,ALPHAUSDT,5.635,Binance Futures Will Delist USDⓈ-M ALPHAUSDT Perpetual Contract (2025-09-23)
2025-09-10T10:14:43.992000+00:00,2025-09-15T00:00:00+00:00,BSWUSDT,4.573,Binance Futures Will Delist USDⓈ-M BSWUSDT Perpetual Contract (2025-09-15)
2025-08-29T11:00:12.480000+00:00,2025-09-03T00:00:00+00:00,LEVERUSDT,4.542,Binance Futures Will Delist USDⓈ-M LEVERUSDT Perpetual Contract (2025-09-03)
2025-08-06T07:30:06.291000+00:00,2025-08-11T00:00:00+00:00,DEFIUSDT,4.687,Binance Futures Will Delist USDⓈ-M DEFIUSDT and MEMEFI Perpetual Contracts (2025-08-11)
2024-12-06T03:00:04.185000+00:00,2024-12-16T00:00:00+00:00,BONDUSDT,9.875,"Binance Futures Will Delist USDⓈ-M MAVIAUSDT, OMGUSDT, and BONDUSDT Perpetual Contracts (2024-12-16)"
2024-12-06T03:00:04.185000+00:00,2024-12-16T00:00:00+00:00,MAVIAUSDT,9.875,"Binance Futures Will Delist USDⓈ-M MAVIAUSDT, OMGUSDT, and BONDUSDT Perpetual Contracts (2024-12-16)"
2024-12-06T03:00:04.185000+00:00,2024-12-16T00:00:00+00:00,OMGUSDT,9.875,"Binance Futures Will Delist USDⓈ-M MAVIAUSDT, OMGUSDT, and BONDUSDT Perpetual Contracts (2024-12-16)"
2024-11-29T04:00:01.809000+00:00,2024-12-09T00:00:00+00:00,LOOMUSDT,9.833,"Binance Futures Will Delist USDⓈ-M XEMUSDT, ORBSUSDT and LOOMUSDT Perpetual Contracts (2024-12-09)"
2024-11-29T04:00:01.809000+00:00,2024-12-09T00:00:00+00:00,ORBSUSDT,9.833,"Binance Futures Will Delist USDⓈ-M XEMUSDT, ORBSUSDT and LOOMUSDT Perpetual Contracts (2024-12-09)"
2024-11-29T04:00:01.809000+00:00,2024-12-09T00:00:00+00:00,XEMUSDT,9.833,"Binance Futures Will Delist USDⓈ-M XEMUSDT, ORBSUSDT and LOOMUSDT Perpetual Contracts (2024-12-09)"
