date,totalNetInflow,cum5,rank90,side
2025-09-19,222619088.0,886646304.454999,0.52,none
2025-09-22,-363169441.5249989,263459102.95500004,0.2631578947368421,none
2025-09-23,-103609722.835,-132416785.27999993,0.18181818181818182,short
2025-09-24,240997524.0,159863165.29000005,0.23076923076923078,none
2025-09-25,-258459965.75000054,-261622518.1099999,0.16455696202531644,short
2025-09-26,-418254386.1099995,-902495992.2199993,0.0875,short
2025-09-29,521951765.2999995,-17374785.395000994,0.2222222222222222,none
2025-09-30,429957109.1699994,516192046.6099984,0.4024390243902439,none
2025-10-01,675814064.8500006,951008587.4599991,0.5783132530120482,none
2025-10-02,627244401.965,1836712955.1749997,0.8333333333333334,long
2025-10-03,985081713.27,3240049054.5549994,0.9882352941176471,long
2025-10-06,1205182658.7099998,3923279947.964999,1.0,long
2025-10-07,875607450.0,4368930288.795,1.0,long
2025-10-08,440725128.4,4133841352.3449993,0.9886363636363636,long
2025-10-09,197684064.68000004,3704281015.059999,0.9550561797752809,long
2025-10-10,-4503772.23,2714695529.559999,0.8888888888888888,long
2025-10-13,-326515434.11,1182997436.7399995,0.6111111111111112,none
2025-10-14,102582380.54,409972367.27999955,0.3111111111111111,none
2025-10-15,-104114643.9,-134867405.02000046,0.15555555555555556,short
2025-10-16,-536436461.53999996,-868987931.2400005,0.08888888888888889,short
2025-10-17,-366585053.1,-1231069212.1100006,0.03333333333333333,short
2025-10-20,-40468310.94,-945022088.9400005,0.08888888888888889,short
2025-10-21,477185400.6300003,-570419068.8500001,0.15555555555555556,short
2025-10-22,-101285733.16,-567590158.1100001,0.16666666666666666,short
2025-10-23,20325414.98,-10828281.590000201,0.24444444444444444,none
2025-10-24,90604970.8,446361742.3099998,0.4,none
2025-10-27,149297173.0,636127226.2499998,0.5,none
2025-10-28,202483340.475,361425166.09499955,0.37777777777777777,none
2025-10-29,-470706614.055,-7995714.800000548,0.25555555555555554,none
2025-10-30,-488426030.4500005,-516747160.23000103,0.17777777777777778,short
2025-10-31,-191596715.995,-798948847.025001,0.13333333333333333,short
2025-11-03,-186512480.0,-1134758500.025001,0.06666666666666667,short
2025-11-04,-577736015.8949997,-1914977856.3950007,0.011111111111111112,short
2025-11-05,-136996456.5,-1581267698.8400006,0.022222222222222223,short
2025-11-06,240025834.9,-852815833.4900004,0.15555555555555556,short
2025-11-07,-558442368.93,-1219661486.4250002,0.06666666666666667,short
2025-11-10,1152918.26,-1031996088.1650002,0.12222222222222222,short
2025-11-11,523983160.24,69723087.96999955,0.35555555555555557,none
2025-11-12,-277975150.425,-71255605.95500046,0.32222222222222224,none
2025-11-13,-869864241.37,-1181145682.2250004,0.07777777777777778,short
2025-11-14,-492108484.035,-1114811797.3300006,0.13333333333333333,short
2025-11-17,-254512005.52,-1370476721.1100006,0.044444444444444446,short
2025-11-18,-372766938.6,-2267226819.950001,0.011111111111111112,short
2025-11-19,75469580.47500001,-1913782089.0500007,0.03333333333333333,short
2025-11-20,-903112546.685,-1947030394.3650005,0.022222222222222223,short
2025-11-21,238473962.45,-1216447947.8800004,0.12222222222222222,short
2025-11-24,-151081932.655,-1113017875.0150003,0.2,short
2025-11-25,128635670.375,-611615266.0400004,0.32222222222222224,none
2025-11-26,21122763.2,-665962083.3150004,0.3111111111111111,none
2025-11-28,71370990.815,308521454.1849995,0.6,none
2025-12-01,8479170.60000001,78526662.33499953,0.5,none
2025-12-02,58499450.19999999,288108045.1899995,0.5666666666666667,none
2025-12-03,-14898322.6,144574052.21499953,0.5111111111111111,none
2025-12-04,-194637120.41,-71185831.39500047,0.4444444444444444,none
2025-12-05,54789576.11,-87767246.10000046,0.43333333333333335,none
2025-12-08,-60479858.49999999,-156726275.20000046,0.4111111111111111,none
2025-12-09,151742056.67,-63483668.730000466,0.4666666666666667,none
2025-12-10,223520563.875,174935217.74499953,0.5666666666666667,none
2025-12-11,-77341871.56,292230466.5949995,0.6111111111111112,none
2025-12-12,49164015.85,286604906.33499956,0.5888888888888889,none
2025-12-15,-357688526.825,-10603761.990000427,0.45555555555555555,none
2025-12-16,-277085591.11,-439431409.77000046,0.32222222222222224,none
2025-12-17,457292993.405,-205658980.2400005,0.36666666666666664,none
2025-12-18,-161324877.85,-289641986.53000045,0.34444444444444444,none
2025-12-19,-158248300.0,-497054302.3800005,0.32222222222222224,none
2025-12-22,-142193040.78,-281558816.3350005,0.36666666666666664,none
2025-12-23,-188637799.92,-193111025.1450005,0.4111111111111111,none
2025-12-24,-175285362.005,-825689380.5550004,0.24444444444444444,none
2025-12-26,-275881989.225,-940246491.9300004,0.2,short
2025-12-29,-19291383.22,-801289575.1500005,0.26666666666666666,none
2025-12-30,355016868.325,-304079666.04500043,0.35555555555555557,none
2025-12-31,-348095084.605,-463536950.7300005,0.3333333333333333,none
2026-01-02,471141073.55,182889484.8249995,0.6222222222222222,none
2026-01-05,697251551.08,1156023025.1299996,0.8444444444444444,long
2026-01-06,-243238017.37,932076390.9799995,0.8222222222222222,long
2026-01-07,-486083849.265,90975673.38999951,0.5555555555555556,none
2026-01-08,-398946849.495,40123908.49999952,0.5333333333333333,none
2026-01-09,-249990155.96,-681007321.0100005,0.25555555555555554,none
2026-01-12,116667803.2,-1261591068.8900006,0.07777777777777778,short
2026-01-13,753725334.75,-264627716.77000058,0.4,none
2026-01-14,843620502.025,1065076634.5199994,0.8333333333333334,long
2026-01-15,100181657.375,1564205141.3899994,0.8777777777777778,long
2026-01-16,-394677331.05,1419517966.2999995,0.8555555555555555,long
2026-01-20,-483384405.3,819465757.7999994,0.7666666666666667,none
2026-01-21,-708711816.85,-642971393.8000007,0.28888888888888886,none
2026-01-22,-32108140.0,-1518700035.8250008,0.06666666666666667,short
2026-01-23,-103567252.4,-1722448945.6000009,0.05555555555555555,short
2026-01-26,6842668.690000001,-1320928945.8600006,0.1,short
2026-01-27,-147371017.725,-984915558.2850006,0.2111111111111111,none
2026-01-28,-19644889.07,-295848630.5050006,0.43333333333333335,none
2026-01-29,-817868771.01,-1081609261.5150006,0.2,short
2026-01-30,-509695859.85,-1487737868.9650006,0.08888888888888889,short
2026-02-02,561894759.215,-932685778.4400007,0.26666666666666666,none
2026-02-03,-272021146.60999995,-1057335907.3250005,0.2222222222222222,none
2026-02-04,-544942116.4,-1582633134.6550007,0.06666666666666667,short
2026-02-05,-434150443.75,-1198914807.3950005,0.17777777777777778,short
2026-02-06,371149761.09999996,-318069186.4450006,0.4777777777777778,none
2026-02-09,144996900.75,-734967044.9100006,0.36666666666666664,none
2026-02-10,166559594.55,-296386303.7500007,0.5111111111111111,none
2026-02-11,-276301047.225,-27745234.575000763,0.6555555555555556,none
2026-02-12,-410366337.57,-3961128.395000756,0.7,none
2026-02-13,15202870.6,-359908018.8950007,0.4888888888888889,none
2026-02-17,-104867618.96,-609772538.6050007,0.4222222222222222,none
2026-02-18,-133269749.0,-909601882.1550007,0.3111111111111111,none
2026-02-19,-165761964.0,-799062798.9300008,0.36666666666666664,none
2026-02-20,88042243.6,-300654217.7600007,0.5555555555555556,none
2026-02-23,-203816310.3,-519673398.6600008,0.4777777777777778,none
2026-02-24,257710105.95,-157095673.75000075,0.6555555555555556,none
2026-02-25,506511302.25,482685377.4999992,0.9222222222222223,long
2026-02-26,254455466.455,902902807.9549993,0.9444444444444444,long
2026-02-27,-27550287.049999997,787310277.3049992,0.9222222222222223,long
2026-03-02,458187575.22499996,1449314162.8299992,0.9888888888888889,long
2026-03-03,225152714.9,1416756771.7799993,0.9666666666666667,long
2026-03-04,461770841.125,1372016310.6549993,0.9555555555555556,long
2026-03-05,-227833838.74,889727005.4599993,0.9,long
2026-03-06,-348828618.3,568448674.2099993,0.8555555555555555,long
2026-03-09,167030145.1,277291244.0849992,0.7888888888888889,none
2026-03-10,250924791.93,303063321.11499923,0.8333333333333334,long
2026-03-11,115170994.75,-43536525.260000765,0.6666666666666666,none
2026-03-12,53868060.58,238165374.05999923,0.7777777777777778,none
2026-03-13,180333827.82,767327820.1799991,0.8666666666666667,long
2026-03-16,201622969.86499998,801920644.9449992,0.8777777777777778,long
2026-03-17,199372736.7,750368589.7149992,0.8444444444444444,long
2026-03-18,-163521701.93,471675893.03499913,0.8111111111111111,long
2026-03-19,-90189632.725,327618199.7299992,0.8,long
2026-03-20,-52109179.4,95175192.50999919,0.6777777777777778,none
2026-03-23,167229236.35,60781458.9949992,0.6333333333333333,none
2026-03-24,-74527422.81,-213118700.5150008,0.4888888888888889,none
2026-03-25,7806864.84,-41790133.74500078,0.5888888888888889,none
2026-03-26,-171215465.2,-122815966.22000077,0.5333333333333333,none
2026-03-27,-225476321.975,-296183108.7950008,0.4222222222222222,none
2026-03-30,69440425.0,-393971920.1450008,0.35555555555555557,none
2026-03-31,117632799.075,-201811698.2600007,0.4888888888888889,none
2026-04-01,-173725295.55,-383343858.65000075,0.34444444444444444,none
2026-04-02,8992603.75,-203135789.70000076,0.4777777777777778,none
2026-04-06,471323049.985,493663582.2599993,0.8222222222222222,long
